,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,best_q,best_q_seconds
0,1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,1:26.714,86.714
1,2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,1:26.869,86.869
2,3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,1:27.079,87.07900000000001
3,4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,1:27.178,87.178
4,5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,1:27.236,87.236
5,6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,1:28.527,88.527
6,7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,1:28.687,88.687
7,8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,1:29.041,89.041
8,9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,1:29.593,89.593
9,10,18,20,5,15,10,1:26.702,1:25.842,\N,1:25.842,85.842
10,11,18,22,11,17,11,1:26.369,1:26.173,\N,1:26.173,86.173
11,12,18,4,4,5,12,1:26.907,1:26.188,\N,1:26.188,86.188
12,13,18,18,11,16,13,1:26.712,1:26.259,\N,1:26.259,86.259
13,14,18,6,3,8,14,1:26.891,1:26.413,\N,1:26.413,86.413
14,15,18,17,9,10,15,1:26.914,\N,\N,1:26.914,86.914
15,16,18,8,6,1,16,1:26.140,\N,\N,1:26.140,86.14
16,17,18,21,10,21,17,1:27.207,\N,\N,1:27.207,87.207
17,18,18,7,5,14,18,1:27.446,\N,\N,1:27.446,87.446
18,19,18,16,10,20,19,1:27.859,\N,\N,1:27.859,87.85900000000001
19,20,18,11,8,18,20,1:28.208,\N,\N,1:28.208,88.208
20,21,18,12,4,6,21,1:28.330,\N,\N,1:28.330,88.33
21,22,18,19,8,19,22,1:29.059,\N,\N,1:29.059,89.059
22,23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,1:35.748,95.74799999999999
23,24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,1:36.230,96.22999999999999
