,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
54,0 days 00:54:47.239000,19.2,94.0,925.0,True,27.0,146,0.6
63,0 days 01:03:47.382000,19.3,93.0,925.0,True,26.2,169,0.8
64,0 days 01:04:47.244000,19.2,93.0,925.0,True,26.3,156,1.7
53,0 days 00:53:47.235000,19.2,93.0,925.0,False,27.0,143,1.1
63,0 days 01:03:47.382000,19.3,93.0,925.0,True,26.2,169,0.8
64,0 days 01:04:47.244000,19.2,93.0,925.0,True,26.3,156,1.7
53,0 days 00:53:47.235000,19.2,93.0,925.0,False,27.0,143,1.1
64,0 days 01:04:47.244000,19.2,93.0,925.0,True,26.3,156,1.7
65,0 days 01:05:47.238000,19.2,93.0,925.0,True,26.4,176,1.8
54,0 days 00:54:47.239000,19.2,94.0,925.0,True,27.0,146,0.6
64,0 days 01:04:47.244000,19.2,93.0,925.0,True,26.3,156,1.7
65,0 days 01:05:47.238000,19.2,93.0,925.0,True,26.4,176,1.8
53,0 days 00:53:47.235000,19.2,93.0,925.0,False,27.0,143,1.1
63,0 days 01:03:47.382000,19.3,93.0,925.0,True,26.2,169,0.8
64,0 days 01:04:47.244000,19.2,93.0,925.0,True,26.3,156,1.7
54,0 days 00:54:47.239000,19.2,94.0,925.0,True,27.0,146,0.6
63,0 days 01:03:47.382000,19.3,93.0,925.0,True,26.2,169,0.8
65,0 days 01:05:47.238000,19.2,93.0,925.0,True,26.4,176,1.8
54,0 days 00:54:47.239000,19.2,94.0,925.0,True,27.0,146,0.6
63,0 days 01:03:47.382000,19.3,93.0,925.0,True,26.2,169,0.8
65,0 days 01:05:47.238000,19.2,93.0,925.0,True,26.4,176,1.8
54,0 days 00:54:47.239000,19.2,94.0,925.0,True,27.0,146,0.6
64,0 days 01:04:47.244000,19.2,93.0,925.0,True,26.3,156,1.7
65,0 days 01:05:47.238000,19.2,93.0,925.0,True,26.4,176,1.8
77,0 days 01:17:47.242000,19.1,93.0,925.0,True,25.1,155,0.8
54,0 days 00:54:47.239000,19.2,94.0,925.0,True,27.0,146,0.6
63,0 days 01:03:47.382000,19.3,93.0,925.0,True,26.2,169,0.8
65,0 days 01:05:47.238000,19.2,93.0,925.0,True,26.4,176,1.8
73,0 days 01:13:47.252000,19.2,93.0,924.9,True,25.0,191,0.8
55,0 days 00:55:47.237000,19.2,93.0,925.0,True,26.9,121,0.8
63,0 days 01:03:47.382000,19.3,93.0,925.0,True,26.2,169,0.8
65,0 days 01:05:47.238000,19.2,93.0,925.0,True,26.4,176,1.8
